ከጥንታዊ ሳይንሶች
የፈረንሳይን ባለማስተላለፍ
ተርጓሚውን ወቅሳለች
ዋሽንግተን በፈረንሳዮች
ስላደረገው የፈረንሳይ
ጦርነትን አቀጣጠለ
የቨርጂኒያ ሬጅመንት
የሬጅመንታል ሬጅመንት
ኮሎኔልነት በሚገልጽ
በሚቀጥለው ዋሽንግተንን
ተቀላቀለ ሬጅመንቱን
ያጠናከረው በካፒቴን
የሚመራው ካሮሊናውያን
ገለልተኛ የንጉሣዊው
ከዋሽንግተን የትእዛዝ
የፈረንሳይ የተከተለው
በዋሽንግተን ተጠናቀቀ
የኢንተር ኃይሎችን
የቨርጂኒያ ዋሽንግተን
ቀረበላት አልሆነም
ኮሚሽኑን በመልቀቅ
ወታደሮች ዋሽንግተን
የቨርጂኒያ እንደገና
ተመሠረተ በኮሎኔል
ዋሽንግተንን ዋሽንግተን
ለሚሰነዘረው ትዕግሥት
ትዕግሥት የጎደለው
ከከፍተኛ የንጉሣዊ
ዳግዎርድ በየካቲት
ከብራድዶክ እንደገና
በዋሽንግተን በዳግማዊት
ዋሽንግተንን የንጉሣዊውን
አልተቀበለውም ኩምበርላንድን
ከማስተዳደር ኃላፊነት
ለማላቀቅ የዋሽንግተን
የፖለቲካ እንቅስቃሴ
የጓደኛውን ፌርፋክስን
አካባቢውን በቨርጂኒያ
ቡርጌሰስ ለመወከል
ባደረገው መደገፍን
ያካትታል በዋሽንግተን
በሌላኛው የቨርጂኒያ
አለመግባባት አስከትሏል
ዋሽንግተን ከቨርጂኒያ
ሬጅመንት መኮንኖች
እንዲቆሙ ሁኔታውን
አረጋጋለች ዋሽንግተን
በማግስቱ በድብድብ
ለመወዳደር የተከበረ
ወታደራዊ ዋሽንግተን
የአካባቢ ቢሮዎችን
በበርጌሰስ ፍሬድሪክ
ለቨርጂኒያ መራጮችን
በፎርብስ በማገልገል
ባይኖርም በምርጫው
የሚሆነውን በማግኘት
አሸንፏል እጩዎችን
በበርካታ ደጋፊዎች
አሸንፏል አውጭነት
አይናገርም በአሜሪካ
የብሪታንያ የመርካንቲሊስት
ፖሊሲዎች ዋሽንግተን
ሜዞቲንት ወላስተን
የተመሰረተ ዋሽንግተን
ዎላስተን የተመሠረተ
ዋሽንግተን የቅንጦት
ሸቀጦችን ከእንግሊዝ
ይከፍላል ያካበተው
ከዝቅተኛ የትምባሆ
እንዲገባ አድርጎታል
ይዞታውን እንዲያሻሽል
አነሳሳው መሸርሸር
ምክንያት የቬርኖንን
የመጀመሪያ ከትንባሆ
ማጥመድን ይጨምራል
ቢሊያርድስ ዋሽንግተን
በቨርጂኒያ የፖለቲካ
ማህበራዊ ተቆጥራለች
የሚያህሉ እንግዶችን
በተለይም የሚጠራቸውን
በቨርጂኒያ ብሪታንያ
በማውጣት በፖለቲካዊ
አድርጓል የዋሽንግተን
የእንጀራ ተሠቃይታለች
በማግስቱ ለቡርዌል
ከመግለጽ እንቅስቃሴዎች
በየምሽቱ የብሪቲሽ
ዋሽንግተን ከአሜሪካ
ማዕከላዊ ተጫውታለች
ለእንግሊዝ የነበረው
የጀመረው መደበኛው
የብሪቲሽ ተገቢውን
የጣለውን በመቃወም
ከአሌጌኒ በመከልከል
የብሪታንያ በመጠበቅ
ተቆጥተዋል ዋሽንግተን
የቴምብር የተሻረበትን
በሚቀጥለው መገባደጃ
የብሪቲሽ በአሜሪካ
የምዕራባዊ በአሜሪካ
ዋሽንግተን የበለጸገ
ጀብዱዎች ምዕራባዊ
አገሮችን እንዲያገኝ
አበረታቷል ዋሽንግተን
በፓርላማ የወጣውን
ሐዋርያትን በመቃወም
ተቃውሞዎችን እንዲመራ
በግንቦት የተዘጋጀውን
አስተዋወቀ ቨርጂኒያውያን
የብሪታንያ ዕቃዎችን
እንዲከለከሉ የሚጠራው
የሐዋርያት ተሰርዟል
የማሳቹሴትስ ገዥዎችን
በቦስተን በነበራቸው
ዋሽንግተን የመብቶቻችን
የጠቀሰውን የማስገደድ
ድርጊቶችን ለመቅጣት
ጥቁሮችም በዘፈቀደ
እየገዛን ባሪያዎች
ያደርገናል ዋሽንግተን
ለሚመራው የፌርፋክስ
የውሳኔዎችን አዘጋጅተዋል
የፌርፋክስ ውሳኔዎችን
ለአህጉራዊ ኮንግረስ
ዋሽንግተን የመጀመሪያውን
ተሳትፏል ከሴፕቴምበር
ኦክቶበር ለአንደኛው
ኮንቲኔንታል ኮንግረስ
የተመረጠበት የቨርጂኒያ
ኮንቬንሽን ተገኝቷል
የአሜሪካ አብዮታዊ
በሌክሲንግተን በኮንኮርድ
በቦስተን ከእንግሊዝ
በመላቀቅ ተከፍለው
የእንግሊዝ አገዛዝን
ያልተቀበሉ አርበኞች
በጦርነቱ መጀመሪያ
በአሜሪካ የብሪታንያ
የጦርነት መጀመሪያውን
አስደንጋጭ ዋሽንግተን
ደነገጠች በግንቦት
በፍጥነት በፊላደልፊያ
ሁለተኛውን ኮንቲኔንታል
ኮንግረስ ተቀላቀለ
ኮንግረስ ኮንቲኔንታል
የተመረጠችው በወታደራዊ
ቨርጂኒያዊ ግዛቶችን
ያደርጋል ስለነበረ
በቁጥጥሩ በማግስቱ
በኮንግረስ ተመርጠዋል
ዋሽንግተን ዩኒፎርም
በኮንግሬስ የመቀበል
አሽቆለቆለ ተመልሷል
ተሰጥቶት አደምስን
የኮንግረሱ ተወካዮች
አድናቆት ያተረፉት
ግዛቶችን ለመምራት
ለማድረግ የሚስማማው
እንደሆነ ተናግሯል
ኮንግረስ ዋሽንግተንን
የተባበሩት የተነሱት
የቦስተንን እንዲቆጣጠር
ኮንግረሱ መኮንኖቹን
አርቴማስ አድጁታንት
ናትናኤል አሌክሳንደር
ሃሚልተንን ዋሽንግተን
በኮሎኔል ቤኔዲክት
አርኖልድ ተደንቀዋል
እንዲጀምር ኃላፊነት
እንዲሁም የፈረንሳይ
ባላገሩን ብርጋዴር
ተቀላቀለ አዳምስን
በመሳሪያ አስደነቀው
ዋሽንግተን አሳደገችው
ከጦርነቱ ዋሽንግተን
ጎድዳርድ የታተመው
በጦርነቱ አዛዥነቱ
አጠያያቂ በጄኔራል
የተከሰሱበት ጎድዳርድ
ዋሽንግተን ጎድዳርድ
የሚፈልገውን እንዲያትም
የማያዳላ የማይናቅ
እንዲፈቅድላቸው የራሳቸውን
እንዲሰጡ የቦስተን
መጀመሪያ እንቅስቃሴ
እንዲይዝ በጄኔራል
የሚታዘዝ የብሪታንያ
በከተማዋ ምሽጎችን
ለማጥቃት የማይቻል
አድርገውታል የተለያዩ
የአካባቢ ሚሊሻዎች
ከተማዋን ብሪታኒያዎችን
በማጥመድ ዋሽንግተን
የአርበኞች ፓትሪዮት
በአቅራቢያው በሚገኘው
