ንመብዛሕትኡ ንኤርትራን
እንተፈቲንና ብኣጠማምታ
እስልምና ብመጻሕፍቲ
ኣርባዕተ መጻሕፍቲ
ዝተጠቕሱ ዝለኣኾም
መጻሕፍቲ ኣይተሓበረን
ስለዝኾነ ዝተፈላለዩ
ሃይማኖታውያን መጻሕፍቲ
ኣይፋሉን ኪንዛረብ
ኣይንኽእልን ኢየሱስን
ኣይሁድን ክርስትያንን
እንተኾነ ከምዝሕብረና
መጻሕፍቲ ዝለኣኾም
መቦቆላዊ ትሕዝቶኦም
ዝተላእኮ ኣይተዓቀበን
ምቅይያራትን ተወሰኽቲ
ሓሳባትን ተገይርሎም
ስለዝኾነ መበቆላዊ
ብሓንጎል ዝተወሰኸ
ስለዝተሓዋወሰ ምግሕማጥ
መጻሕፍቲ ዝተኻየደ
ብልሽውናን መጠነሰፊሕን
ስለዝኾነ ኣይሁድን
ክርስትያንን ይቕበልዎ
መቦቆላዊ ተተርጒሙ
ዝተዳለወ እተገብረሉን
እንተኾነ ከምዘይረገአ
መጻሕፍቲ ብጥንቃቐ
ከነጽንዖም እንተፈቲና
ዘይክእሉ ሑጥበጽሑፋትን
ጥቕስታትን ስለዝተሓዋወሱ
መብዛሕትኡ ዝተሓወሰ
ንምፍላይ ብመጻሕፍቲ
መጻሕፍቲ ዝተፈላለዩ
ዝተላእኩ መጻሕፍቲ
መጻሕፍቲ ኢየሱስን
ብተመሳሳሊ ዝጠቐስናዮም
መጻሕፍቲ መወዳእታን
መሎኮታዊ ዘገርምን
ኣይኮነን መልእኽታት
ዝጸነቱን ዝተበረዙን
መጻሕፍቲ ክኹልዕን
ከረጋግጽን ቁርኣንን
ኣቀዲሞም ዝተላእኩ
መጻሕፍቲ ፍልልያት
ዝተመስከረ ዝተላእክዎ
ተዓቂቦም መንፈሶምን
ትርጉሞምን ተረዲእካ
ኣብግብሪ ምውዓሎም
ዝተላእከሉ ብህይወት
ሚልዮናት ይዛረብዎ
ሚልዮናት ይርድእዎን
ይፈልጥዎን ዩኒቨርሲታት
ዘስተምህራሉ ንኽመሃሮ
ስለዝኽእል እንተወሓደ
ንቁርኣን ክገልጸሉ
ዝተጠቐሰ ግዜምበር
ንዘልኣለም ኣይኮኑን
ዝተቐበልዎም ንዝተወሰነ
ክጥቐሙሎም ተላኢኾም
ዝተለኣኸ ንፍሉያት
እናረቖሐ ንወዲሰብ
ዘልኣለማዊ ሰብኣውነት
ኣይኮኑን ርትዓውነት
ዘይብሉን ስምዒታውን
ክብሪታት ንክጸንዕ
ኣበርክቶ ነይርዎም
ይኹንምበር መዳያቶም
ኣጠቓላሊ ኣይኮኑን
ኣርእስቲ ትምህርቲ
መምርሒን ስርዓትን
ዝተርፎም ዘይትንክፎ
ዝተጠቕሱን ዘይብሎም
ምኽንያታትን ባህርያት
ቁርኣንን ኣወንዚፉ
ምኽንያቱ ዘይተበረዙ
ኣስፊርዎ ክንኣምን
ክንስዕቦውን ንቁርኣን
ብዝምልከት እንሻኣላህ
ወበረካትሁ ሙእሚኒን
የሕዋተይ ብሉኡኻት
ዓቒዳእምነት መወዳእታን
ምዕራፋት ከምዝተጠቐሰ
ዝተፈላለዩ ኩርናዓት
ዝተፈላለዩን ብዙሓትን
ዘስተምሃርዎ ዘመሓላለፍዎ
መልእኽቲ መልእኽቲ
እምበኣር ሃይማኖት
እስልምና ዳኣምበር
ኣይኣምነሉንየ ሓሙሽተን
ተጠቒሶም ነዚኣቶም
ክንኣምነሎም ዘይተጠቐሱ
ሊኢኸዮም ብድምዱሙ
ሓቀኛታት ምንባሮም
ከየበላለጽና ንኣምነሎምን
ንቕበሎምን ንማዕርነቶም
ከየፍረስና ፍልልያት
ከነስተውዕል መደረታቱ
ልምድታቱን ሞራላውነቱን
ስለዝኾነ መወዳእታ
ተኣማሚንካ ክትግዛእ
የሕዋተይ ብዘይወገንነት
መርሚርናዮ ሕብረተሰባት
ምክብባርን ክስራሓሉ
ዝኽእልን ዘልኣለማዊ
ስርዓታት ብምልኣት
እስልምና ኣስተምህሩኡ
ጌጋታትን ብልሽውናን
ምምስካር መዓልቲዚ
መወዳእታ መወዳእታ
ዝነበርና ብህይወት
ክንምለስ ዝፈጸምናዮም
ተግባራት ብሙሉኦም
ተሰኒዶም ስለዝጸንሑ
መወዳእታ ክንቀርብ
ስለዝኾነ ዝኣመነን
ዘብዘሐን ብምጉንጻፍ
ዘምለኸን ተግባራቱን
ሓጥያታቱን ውርደትን
መቕጻዕትን ነፍሲወከፍ
ተሓታታይ ሓላፍነት
ዝስከመሉ ሙእሚኒን
የሕዋተይ ብእምነትናን
ተግባርናን ዳኣምበር
ብዝፈጸሞ ኣይንሕተትን
ደንጋጽን ሩህሩህን
ኣይፈጥረናን ብለውሃቱ
ስለዝበለሉ ዝሰጋገር
መቦቆላዊ ስለዝኾነ
ንድሕነሉ ንሳቐየሉ
እምነትናን ተግባራትናን
መወዳእታ እምበኣር
ዘልኣለም ህይወትን
ዝኣትዉላ ክትከውን
ሓጢኣተኛታት ገበነኛታትን
ኣምለኽቲ ዘልኣለማዊ
ገሃነመእሳት ዝድርበዩላ
ኣልቕድር ከምዝፍጸም
ዝደንገጎ ኢስላማዊ
ዘጋጠሙን ዘጋጥሙን
ከይጋጠሙ ከምዝፈልጦም
ተግባራቶም ዝጸንሕዎ
ብመሎኮታዊ ቅድመድንጋገ
ኣልቐድር እንተኣሚኑ
ረብሓታት ኪጎናጸፍ
ስለዝፈልጥ ብምድንጋጉ
ክቅይሮውን ዘይክእል
ብምቕባል ቅሳነትን
ህድኣትን ዝተጠቕሱ
ዓንድታት እምነትብኣላህ
ብንቕሓት ፈሊጥካን
ተረዲእካን ከተምልኾን
ክትግዘኦን ከምዘለካ
ኣምልኾቱ ኣማልኽቲ
ክትሕውስ ከምዘይብልካ
እምነትብመጻሕፍቲ መጻሕፍቲ
ከምዝለኣኸ ካብኣቶም
ዝተጠቕሱ ኣርባዕተ
መጻሕፍቲ እምነትብልኡኻት
ህዝብታት ከምዘየለን
ምእማንን ዝተጠቐሱ
ብመወዳእታ ህይወታዊ
ከምዘብቅዕ ከምዘሎን
ተግባራት ከምዝኽፈልን
እምነትብቅድመድንጋገ እንረኽቦ
ከምዝወሰኖ ወሰላሙዓለይኩም
ኣንበሳን ኣንበሳን
ኣድጎምን ኣድጎምን
ዘይሓስብ ዘይሓስብ
ፒቲያስን ፒቲያስን
ይፈቕደሎም ኪትኣታተው
ቋንቋሃገር ዝተባህለ
ተተሓሒዙ ትምህርቲ
ቋንቋሃገር ትምህርቲ
ቋንቋኣደ ቋንቋኣደኦም
ዘይሽወደን መዓልታዊ
ዝዓበየን ዓብላልን
ቋንቋታት ቀዳማይሞት
ቋንቋታት ሪፓብሊካዊት
ኣፍሪቃውን ውቅያኖስ
ሃገራትውን ኢትዮጵያ
ብሰሜናዊ ታንዛንያ
ብምዕራብ ከምኡውን
ቪኢክቶሪያ ብዝተፈላለዩ
እንስሳታት ንእኦምውን
ዝተሓዝኤ ቦታታትን
በረኻታትን ዝመልኣን
ዝሃብተማን ኣካያይዳ
ንናእሽቱ መንእሰያት
ትምህርቶም ኣሰንበድቲ
ፊልምታት ወልፍታት
ኣይፍቀድን ቤተክርስትያን
ቤተክርስትያን ቤተክርስትያን
በይጂንግ ሃገራትን
ዓለማትን ቤትክርስትያን
ዝተቐልቀለ ክርስትያናዊ
ፕሮተስታንት ክርስቶስ
ንምስባኽ እምነታት
ቤተክርስትያን መብዛሕትኡ
ምብራቓዊ እትርከብ
ብስፍሓት ካልኣይቲ
ዝነኣሰት ሃገራትን
ግዝኣታትን ብፖለቲካ
ልኡላውያን ጽግዕተኛታት
ግዝኣታት ከምኡውን
ኤውሮጳዊ ተዋሃሂደን
ሳንገርን ከምኡውን
ኢንተርነት ዝዓበየን
ኮምፒዩተር ክዊክሶርት
ክህልወካ ስነኮምፒተር
ክዊክሶርት መጀመርታ
ውልቀሰብ ከመስጊን
ብምቅጻል ብዝሓየለ
ኪድፋኣሉ ኮምፒተር
ትምህርቲ ኪመሓላለፍ
ዝርዝራዊ ተኽታተል
ሱተርማይስተር ኣውስትራሊያ
ኣውስትራሊያ ኣርባዕተ
ኣርባዕተ ኣርባዕተ
ሓሙሽተን ሓሙሽተን
ንምውሓስ ሓላፍነት
ሻብዓይቲ ኣንስተይቲ
እትጽውዓሉ ብጭዋዳታት
ዝጭንጕዕ መለንዛና
ትሮፒካዊ ዝዕንባብኡ
ኣጻብዕቲ እንስሳታትን
እልመትን ኣጻብዕቲ
ኣመልካቲቶ ማእከለይቶ
ቀለቤቶን ሕንጥሊቶን
ትሮዊካዊ ኣመሪካና
ኣክቲኒዲያ ቺነንሲስ
ክኒዳሪኣን ኣልማናክ
ጸብጻብን ሓበሬታን
ዓውደኣዋርሕን ምዓልታዊ
ብኣታታትን ዘገልግል
ምዓልታት ዘገልግል
ተባዕታይ ገብረስጋ
ማህጸንን ብልዕትን
ኣንስተይቲ ኢንሰክታ
እንቛቕሖ እንቛቕሖ
እንቛቑሖ ማሕደረእንቛቑሖ
ዝመሓላለፈሉ ማሕደረእንቛቑሖ
ኣንስተይቲ ዝፈርየለን
ማሕደራት ፍረታትን
ኣሕምልትን ኣውቶቡስ
ተጓዓዝቲ ዝተነድፈ
መተሓላለፊ መበጻጽሒ
ዝተነድፈ ተጓዓዝቲ
ቅዉምሳጹንክዳውንቲ ዝቕመጠሉ
ግብረስጋ ክትፍጽም
